     1	#best	| #	| asIs	| zero	| rand	| (sd)	| row
     2	0.25	| 30	| 0.70	| 0.31	| 0.64	| 0.16	| [4, 90, 48, 78, 2, 1985, 21.5, 40]	| ../../moot/optimize/misc/auto93.csv
     3	0.25	| 30	| 0.70	| 0.31	| 0.64	| 0.18	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
     4	0.25	| 30	| 0.70	| 0.31	| 0.65	| 0.15	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
     5	0.25	| 30	| 0.70	| 0.31	| 0.67	| 0.19	| [4, 90, 48, 78, 2, 1985, 21.5, 40]	| ../../moot/optimize/misc/auto93.csv
     6	0.25	| 30	| 0.70	| 0.31	| 0.68	| 0.14	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
     7	0.25	| 30	| 0.70	| 0.31	| 0.70	| 0.16	| [4, 90, 48, 80, 2, 2085, 21.7, 40]	| ../../moot/optimize/misc/auto93.csv
     8	0.25	| 30	| 0.70	| 0.31	| 0.70	| 0.17	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
     9	0.25	| 30	| 0.70	| 0.31	| 0.73	| 0.16	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
    10	0.25	| 30	| 0.70	| 0.31	| 0.74	| 0.19	| [4, 97, 52, 82, 2, 2130, 24.6, 40]	| ../../moot/optimize/misc/auto93.csv
    11	0.32	| 30	| 0.70	| 0.31	| 0.68	| 0.14	| [4, 85, 65, 81, 3, 1975, 19.4, 40]	| ../../moot/optimize/misc/auto93.csv
    12	0.32	| 30	| 0.70	| 0.31	| 0.71	| 0.14	| [4, 85, 65, 81, 3, 1975, 19.4, 40]	| ../../moot/optimize/misc/auto93.csv
    13	0.33	| 30	| 0.70	| 0.31	| 0.64	| 0.15	| [4, 85, 65, 80, 3, 2110, 19.2, 40]	| ../../moot/optimize/misc/auto93.csv
    14	0.33	| 30	| 0.70	| 0.31	| 0.74	| 0.16	| [4, 85, 65, 80, 3, 2110, 19.2, 40]	| ../../moot/optimize/misc/auto93.csv
    15	0.37	| 30	| 0.70	| 0.31	| 0.67	| 0.19	| [4, 85, 70, 78, 3, 2070, 18.6, 40]	| ../../moot/optimize/misc/auto93.csv
    16	0.38	| 30	| 0.70	| 0.31	| 0.65	| 0.17	| [5, 121, 67, 80, 2, 2950, 19.9, 40]	| ../../moot/optimize/misc/auto93.csv
    17	0.40	| 30	| 0.70	| 0.31	| 0.73	| 0.19	| [4, 72, 69, 71, 3, 1613, 18, 40]	| ../../moot/optimize/misc/auto93.csv
    18	0.45	| 30	| 0.70	| 0.31	| 0.73	| 0.15	| [4, 98, 70, 82, 1, 2125, 17.3, 40]	| ../../moot/optimize/misc/auto93.csv
    19	0.45	| 30	| 0.70	| 0.31	| 0.73	| 0.17	| [4, 98, 70, 82, 1, 2125, 17.3, 40]	| ../../moot/optimize/misc/auto93.csv
    20	0.50	| 30	| 0.70	| 0.31	| 0.67	| 0.18	| [4, 119, 82, 82, 1, 2720, 19.4, 30]	| ../../moot/optimize/misc/auto93.csv
    21	0.50	| 30	| 0.70	| 0.31	| 0.69	| 0.14	| [4, 98, 65, 81, 1, 2380, 20.7, 30]	| ../../moot/optimize/misc/auto93.csv
